r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
9.873843193054199219e-01,9.873843193054199219e-01,5.368919968605041504e-01,9.873843193054199219e-01,5.626373767852783203e+00,4.375000000000000000e+00,0.000000000000000000e+00,2.820000000000000000e+02,3.000000000000000000e+00,1.160000000000000000e+02,0.000000000000000000e+00,8.405166864395141602e-02,1.953125000000000000e-02,4.539999961853027344e-01,0.000000000000000000e+00,9.873843193054199219e-01,2.979319763183593750e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.368932485580444336e-01,9.873843193054199219e-01,5.766323089599609375e+00,4.571428775787353516e+00,0.000000000000000000e+00,3.050000000000000000e+02,3.000000000000000000e+00,1.270000000000000000e+02,0.000000000000000000e+00,8.521381020545959473e-02,1.171875000000000000e-02,4.180000126361846924e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.074462127685546875e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.295192003250122070e-01,9.873843193054199219e-01,5.658940315246582031e+00,4.812500000000000000e+00,0.000000000000000000e+00,2.790000000000000000e+02,3.000000000000000000e+00,1.220000000000000000e+02,1.000000000000000000e+00,8.510822057723999023e-02,6.011980026960372925e-02,3.959999978542327881e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.174877929687500000e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.375902056694030762e-01,9.873843193054199219e-01,5.711039066314697266e+00,4.235294342041015625e+00,0.000000000000000000e+00,2.890000000000000000e+02,2.000000000000000000e+00,1.080000000000000000e+02,0.000000000000000000e+00,8.624690026044845581e-02,2.734375000000000000e-02,3.840000033378601074e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.274072647094726562e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.478872060775756836e-01,9.873843193054199219e-01,5.569892406463623047e+00,4.545454502105712891e+00,0.000000000000000000e+00,2.960000000000000000e+02,4.000000000000000000e+00,1.180000000000000000e+02,1.000000000000000000e+00,8.660182356834411621e-02,2.734375000000000000e-02,4.420000016689300537e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.375610351562500000e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.209243893623352051e-01,9.873843193054199219e-01,5.957516193389892578e+00,4.214285850524902344e+00,0.000000000000000000e+00,3.030000000000000000e+02,3.000000000000000000e+00,1.290000000000000000e+02,0.000000000000000000e+00,8.794478327035903931e-02,2.343750000000000000e-02,3.880000114440917969e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.474400711059570312e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.303887128829956055e-01,9.873843193054199219e-01,6.003378391265869141e+00,4.187500000000000000e+00,0.000000000000000000e+00,3.060000000000000000e+02,2.000000000000000000e+00,1.210000000000000000e+02,0.000000000000000000e+00,8.950059115886688232e-02,2.343750000000000000e-02,4.079999923706054688e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.574179077148437500e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.331279635429382324e-01,9.873843193054199219e-01,6.016611099243164062e+00,5.500000000000000000e+00,0.000000000000000000e+00,3.030000000000000000e+02,6.000000000000000000e+00,1.370000000000000000e+02,3.000000000000000000e+00,9.121393412351608276e-02,6.488890200853347778e-02,3.980000019073486328e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.677521896362304688e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.254369378089904785e-01,9.873843193054199219e-01,6.232558250427246094e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.040000000000000000e+02,1.000000000000000000e+00,1.290000000000000000e+02,0.000000000000000000e+00,9.279493987560272217e-02,1.562500000000000000e-02,3.980000019073486328e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.772277069091796875e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.341054797172546387e-01,9.873843193054199219e-01,6.277193069458007812e+00,4.142857074737548828e+00,0.000000000000000000e+00,3.390000000000000000e+02,2.000000000000000000e+00,1.540000000000000000e+02,0.000000000000000000e+00,9.474721550941467285e-02,2.734375000000000000e-02,4.300000071525573730e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.876604461669921875e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.362978577613830566e-01,9.873843193054199219e-01,5.798722267150878906e+00,4.368421077728271484e+00,0.000000000000000000e+00,3.160000000000000000e+02,3.000000000000000000e+00,1.230000000000000000e+02,1.000000000000000000e+00,9.574953466653823853e-02,3.125000000000000000e-02,3.740000128746032715e-01,0.000000000000000000e+00,9.873843193054199219e-01,3.979978561401367188e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.337989330291748047e-01,9.873843193054199219e-01,6.276816844940185547e+00,4.750000000000000000e+00,0.000000000000000000e+00,3.310000000000000000e+02,4.000000000000000000e+00,1.470000000000000000e+02,1.000000000000000000e+00,9.823590517044067383e-02,6.519807130098342896e-02,4.219999909400939941e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.078065109252929688e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.364405512809753418e-01,9.873843193054199219e-01,6.682593822479248047e+00,4.750000000000000000e+00,0.000000000000000000e+00,3.510000000000000000e+02,4.000000000000000000e+00,1.740000000000000000e+02,2.000000000000000000e+00,1.000572964549064636e-01,3.515625000000000000e-02,4.140000045299530029e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.183876800537109375e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.346864461898803711e-01,9.873843193054199219e-01,6.312080383300781250e+00,4.157894611358642578e+00,0.000000000000000000e+00,3.340000000000000000e+02,2.000000000000000000e+00,1.490000000000000000e+02,0.000000000000000000e+00,1.003014221787452698e-01,3.515625000000000000e-02,4.040000140666961670e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.290992355346679688e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.302600860595703125e-01,9.873843193054199219e-01,6.567567348480224609e+00,4.133333206176757812e+00,0.000000000000000000e+00,3.420000000000000000e+02,2.000000000000000000e+00,1.700000000000000000e+02,0.000000000000000000e+00,1.038269624114036560e-01,3.515625000000000000e-02,4.819999933242797852e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.390780258178710938e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.089589357376098633e-01,9.729964733123779297e-01,6.656716346740722656e+00,4.699999809265136719e+00,0.000000000000000000e+00,3.330000000000000000e+02,4.000000000000000000e+00,1.850000000000000000e+02,1.000000000000000000e+00,1.081391423940658569e-01,6.903910636901855469e-02,4.639999866485595703e-01,0.000000000000000000e+00,8.534787893295288086e-01,4.500293350219726562e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.188056230545043945e-01,9.873843193054199219e-01,6.717532634735107422e+00,4.176470756530761719e+00,0.000000000000000000e+00,3.320000000000000000e+02,2.000000000000000000e+00,1.760000000000000000e+02,0.000000000000000000e+00,1.053727269172668457e-01,3.515625000000000000e-02,3.840000033378601074e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.602497863769531250e+01
9.873843193054199219e-01,9.873843193054199219e-01,5.194654464721679688e-01,9.873843193054199219e-01,6.449275493621826172e+00,4.625000000000000000e+00,0.000000000000000000e+00,3.340000000000000000e+02,3.000000000000000000e+00,1.740000000000000000e+02,1.000000000000000000e+00,1.052869558334350586e-01,6.943730264902114868e-02,4.480000138282775879e-01,0.000000000000000000e+00,9.873843193054199219e-01,4.709869003295898438e+01
