r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
0.9873843025742869,3,0,"0.5002 * diff2(n2(mul(div(u1,u1),u1)),x1)","diff2,n2,mul,div,u1,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,2,0,"0.5002 * diff2(n2(mul(u1,n2(div(u1,u1)))),x1)","diff2,n2,mul,u1,n2,div,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(div(u1,div(mul(u1,u1),n2(u1)))),x1)","diff2,n2,div,u1,div,mul,u1,u1,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(mul(u1,div(x1,x1))),x1)","diff2,n2,mul,u1,div,x1,x1,x1",8.315342220176316e-06,True
0.9873843025742869,962,0,"0.5002 * diff2(n2(u1),x1)","diff2,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,3,0,"0.5002 * diff2(div(n2(u1),div(u1,u1)),x1)","diff2,div,n2,u1,div,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * div(diff2(n2(u1),x1),n2(div(diff2(n2(u1),x1),diff2(n2(u1),x1))))","div,diff2,n2,u1,x1,n2,div,diff2,n2,u1,x1,diff2,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(div(u1,div(x1,x1))),x1)","diff2,n2,div,u1,div,x1,x1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(div(u1,div(n2(u1),n2(u1)))),x1)","diff2,n2,div,u1,div,n2,u1,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * div(u1,div(div(u1,div(diff2(u1,x1),diff2(u1,x1))),diff2(n2(u1),x1)))","div,u1,div,div,u1,div,diff2,u1,x1,diff2,u1,x1,diff2,n2,u1,x1",8.315342220176321e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(mul(mul(n2(n2(n2(div(u1,u1)))),u1),u1),x1)","diff2,mul,mul,n2,n2,n2,div,u1,u1,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * mul(n2(div(u1,u1)),diff2(n2(u1),x1))","mul,n2,div,u1,u1,diff2,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(mul(div(mul(u1,u1),n2(u1)),n2(u1)),x1)","diff2,mul,div,mul,u1,u1,n2,u1,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * mul(diff2(n2(u1),x1),n2(div(diff2(u1,x1),diff2(u1,x1))))","mul,diff2,n2,u1,x1,n2,div,diff2,u1,x1,diff2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * mul(div(diff2(u1,x1),diff2(u1,x1)),diff2(n2(u1),x1))","mul,div,diff2,u1,x1,diff2,u1,x1,diff2,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742867,1,0,"0.5002 * diff2(n2(mul(n2(n2(u1)),div(u1,n2(n2(u1))))),x1)","diff2,n2,mul,n2,n2,u1,div,u1,n2,n2,u1,x1",8.315342220177724e-06,True
0.9873843025742867,1,0,"0.5002 * diff2(mul(mul(div(u1,div(mul(u1,u1),u1)),u1),u1),x1)","diff2,mul,mul,div,u1,div,mul,u1,u1,u1,u1,u1,x1",8.315342220177637e-06,True
0.9873843025742867,1,0,"0.5002 * diff2(n2(div(n2(n2(u1)),mul(u1,mul(u1,u1)))),x1)","diff2,n2,div,n2,n2,u1,mul,u1,mul,u1,u1,x1",8.315342220177952e-06,True
0.9873843025742856,1,0,"0.5002 * diff2(div(n2(u1),div(div(mul(n2(u1),u1),mul(u1,u1)),u1)),x1)","diff2,div,n2,u1,div,div,mul,n2,u1,u1,mul,u1,u1,u1,x1",8.315342220184707e-06,True
0.9873843025742707,3,0,"0.2501 * mul(diff2(n2(x1),x1),diff2(n2(u1),x1))","mul,diff2,n2,x1,x1,diff2,n2,u1,x1",8.315342220279734e-06,True
0.9873843025742707,1,0,"0.2501 * mul(diff2(mul(u1,u1),x1),diff2(n2(x1),x1))","mul,diff2,mul,u1,u1,x1,diff2,n2,x1,x1",8.315342220279734e-06,True
0.9873843025742707,1,0,"0.2501 * mul(diff2(mul(u1,u1),x1),diff2(mul(x1,x1),x1))","mul,diff2,mul,u1,u1,x1,diff2,mul,x1,x1,x1",8.315342220279734e-06,True
0.977419096656483,2,0,"0.0004 * mul(u1,diff2(n2(u1),x1)) + 0.4999 * diff2(n2(u1),x1)","add,mul,u1,diff2,n2,u1,x1,diff2,n2,u1,x1",8.261509282115631e-06,True
0.9774174695174714,1,0,"-0.0036 * mul(n3(u1),u1) + 0.5001 * diff2(n2(u1),x1)","add,mul,n3,u1,u1,diff2,n2,u1,x1",8.271957098421458e-06,True
0.9774174695174714,1,0,"-0.0036 * n2(n2(u1)) + 0.5001 * diff2(n2(u1),x1)","add,n2,n2,u1,diff2,n2,u1,x1",8.271957098421446e-06,True
0.9774174695174714,1,0,"0.5001 * diff2(n2(u1),x1) + -0.0036 * n2(n2(u1))","add,diff2,n2,u1,x1,n2,n2,u1",8.271957098421463e-06,True
0.977416840492949,1,0,"0.0002 * mul(mul(diff2(n3(u1),x1),u1),u1) + 0.5001 * diff2(n2(u1),x1)","add,mul,mul,diff2,n3,u1,x1,u1,u1,diff2,n2,u1,x1",8.275997826954589e-06,True
0.977415966464483,1,0,"0.0001 * diff2(mul(n2(u1),n3(u1)),x1) + 0.5002 * diff2(n2(u1),x1)","add,diff2,mul,n2,u1,n3,u1,x1,diff2,n2,u1,x1",8.281614058756592e-06,True
0.977415966464483,2,0,"0.0001 * diff2(mul(n3(u1),n2(u1)),x1) + 0.5002 * diff2(n2(u1),x1)","add,diff2,mul,n3,u1,n2,u1,x1,diff2,n2,u1,x1",8.281614058756592e-06,True
0.9774155751216906,1,0,"0.0001 * diff2(n2(n2(u1)),x1) + 0.5002 * diff2(n2(div(n2(u1),u1)),x1)","add,diff2,n2,n2,u1,x1,diff2,n2,div,n2,u1,u1,x1",8.284129325041694e-06,True
0.9774155751216904,1,0,"0.0001 * div(u1,div(u1,diff2(n2(n2(u1)),x1))) + 0.5002 * diff2(n2(u1),x1)","add,div,u1,div,u1,diff2,n2,n2,u1,x1,diff2,n2,u1,x1",8.284129325044435e-06,True
0.9774155751216904,1,0,"0.5002 * diff2(mul(u1,u1),x1) + 0.0001 * diff2(n2(n2(u1)),x1)","add,diff2,mul,u1,u1,x1,diff2,n2,n2,u1,x1",8.28412932504444e-06,True
0.9774155751216904,3,0,"0.0001 * diff2(n2(n2(u1)),x1) + 0.5002 * diff2(n2(u1),x1)","add,diff2,n2,n2,u1,x1,diff2,n2,u1,x1",8.284129325044435e-06,True
0.9774145374096006,1,0,"0.0066 * n2(div(u1,diff2(u1,x1))) + 0.5002 * diff2(n2(u1),x1)","add,n2,div,u1,diff2,u1,x1,diff2,n2,u1,x1",8.290800840902909e-06,True
0.9774138188139098,1,0,"-0.0004 * n2(n2(mul(x1,u1))) + 0.5001 * diff2(n2(u1),x1)","add,n2,n2,mul,x1,u1,diff2,n2,u1,x1",8.295422319418534e-06,True
0.9774131519564537,1,0,"0.0001 * diff2(n2(div(mul(u1,u1),x1)),x1) + 0.5002 * diff2(n2(u1),x1)","add,diff2,n2,div,mul,u1,u1,x1,x1,diff2,n2,u1,x1",8.29971221374002e-06,True
0.9774129539372809,1,0,"0.0001 * diff2(n3(u1),x1) + 0.5001 * diff2(n2(u1),x1)","add,diff2,n3,u1,x1,diff2,n2,u1,x1",8.300986285837782e-06,True
0.9774129539372809,1,0,"0.5001 * diff2(n2(u1),x1) + 0.0001 * diff2(mul(u1,n2(u1)),x1)","add,diff2,n2,u1,x1,diff2,mul,u1,n2,u1,x1",8.300986285837743e-06,True
0.9774129539372809,1,0,"0.0001 * diff2(mul(n2(u1),div(n2(u1),u1)),x1) + 0.5001 * diff2(n2(u1),x1)","add,diff2,mul,n2,u1,div,n2,u1,u1,x1,diff2,n2,u1,x1",8.300986285837745e-06,True
0.9774129095406034,1,0,"0.5001 * diff2(n2(u1),x1) + -0.0017 * n3(u1)","add,diff2,n2,u1,x1,n3,u1",8.30127195130333e-06,True
0.9774129095406034,1,0,"0.5001 * diff2(n2(u1),x1) + -0.0017 * mul(u1,mul(u1,u1))","add,diff2,n2,u1,x1,mul,u1,mul,u1,u1",8.30127195130333e-06,True
0.9774129095406034,1,0,"-0.0017 * n3(u1) + 0.5001 * diff2(mul(u1,u1),x1)","add,n3,u1,diff2,mul,u1,u1,x1",8.30127195130334e-06,True
0.9774129095406034,3,0,"-0.0017 * n3(u1) + 0.5001 * diff2(n2(u1),x1)","add,n3,u1,diff2,n2,u1,x1",8.30127195130334e-06,True
0.9774128597158059,1,0,"0.0146 * div(n2(u1),n2(n2(diff2(u1,x1)))) + 0.5002 * diff2(n2(u1),x1)","add,div,n2,u1,n2,n2,diff2,u1,x1,diff2,n2,u1,x1",8.301592549284915e-06,True
0.9774125195269973,1,0,"0.0006 * n2(div(diff2(u1,x1),n2(diff2(u1,x1)))) + 0.5002 * diff2(n2(u1),x1)","add,n2,div,diff2,u1,x1,n2,diff2,u1,x1,diff2,n2,u1,x1",8.303781662686243e-06,True
0.97741238637437,1,0,"-0.0002 * div(x1,add(n2(diff2(div(u1,u1),x1)),diff2(u1,x1))) + 0.5002 * diff2(n2(u1),x1)","add,div,x1,add,n2,diff2,div,u1,u1,x1,diff2,u1,x1,diff2,n2,u1,x1",8.304638578223009e-06,True
0.9774120183293037,1,0,"0.0001 * div(diff2(u1,x1),diff2(n2(x1),x1)) + 0.5002 * diff2(n2(u1),x1)","add,div,diff2,u1,x1,diff2,n2,x1,x1,diff2,n2,u1,x1",8.307007396090625e-06,True
0.9774119868686978,1,0,"0.5002 * diff2(n2(div(n2(u1),u1)),x1) + 0.0001 * mul(diff2(u1,x1),u1)","add,diff2,n2,div,n2,u1,u1,x1,mul,diff2,u1,x1,u1",8.30720989912865e-06,True
0.9774119868686973,1,0,"0.0001 * mul(diff2(u1,x1),u1) + 0.5002 * diff2(mul(u1,u1),x1)","add,mul,diff2,u1,x1,u1,diff2,mul,u1,u1,x1",8.307209899131254e-06,True
